Observation,max_freq_1_x,max_freq_2_x,max_freq_3_x,max_freq_4_x,max_freq_5_x,max_freq_1_y,max_freq_2_y,max_freq_3_y,max_freq_4_y,max_freq_5_y
1.0,3880.0000000000005,3460.0,1210.0000000000002,1190.0,1160.0000000000002,6320.0,5920.0,5720.0,2070.0000000000005,150.0
2.0,3610.0,3510.0,3140.0,1200.0,150.0,6130.0,5740.000000000001,3510.0,2950.0,150.0
3.0,3730.0000000000005,3500.0,3350.0,3140.0,1320.0,6150.0,5780.0,3880.0000000000005,2960.0,150.0
4.0,3690.0,3550.0,3320.0000000000005,1150.0,1140.0,6170.0,5870.0,5750.0,3530.0000000000005,150.0
5.0,3890.0000000000005,3710.0,3130.0,2770.0000000000005,150.0,5970.0,5700.0,5570.0,2110.0,150.0
6.0,4130.0,3730.0000000000005,2570.0000000000005,1180.0,150.0,6090.000000000001,6000.0,5580.0,4510.0,150.0
7.0,3930.0000000000005,3710.0,3560.0,1270.0,150.0,5650.0,5580.0,5420.0,3710.0,150.0
8.0,3920.0000000000005,3810.0,3730.0000000000005,3520.0000000000005,150.0,5980.0,5780.0,4540.000000000001,4530.0,150.0
9.0,4390.000000000001,3930.0000000000005,3500.0,2570.0000000000005,150.0,6140.000000000001,4910.0,4500.0,3120.0000000000005,150.0
10.0,3710.0,3680.0000000000005,3540.0,460.00000000000006,150.0,6400.0,5990.000000000001,5810.0,5610.0,150.0
11.0,3890.0000000000005,3580.0000000000005,3340.0,3110.0,150.0,6200.0,6060.0,6000.0,5820.0,150.0
12.0,4110.0,3610.0,3570.0000000000005,2960.0,1240.0,6080.0,6070.0,6050.0,5890.000000000001,150.0
13.0,3630.0000000000005,3550.0,3340.0,3170.0000000000005,150.0,6230.0,6030.0,5840.000000000001,5550.0,150.0
14.0,3780.0000000000005,3340.0,3320.0000000000005,3180.0,460.00000000000006,6050.0,5900.0,5580.0,5480.0,3940.0000000000005
15.0,3580.0000000000005,3540.0,3530.0000000000005,3440.0,150.0,10200.0,5850.0,5690.000000000001,5660.0,150.0
16.0,4390.000000000001,3380.0000000000005,3340.0,3010.0,150.0,10320.0,6090.000000000001,5960.0,5180.0,3380.0000000000005
17.0,3580.0000000000005,3410.0,3380.0000000000005,3180.0,160.0,6240.000000000001,6060.0,5990.000000000001,5900.0,2110.0
18.0,3580.0000000000005,3520.0000000000005,3420.0000000000005,3350.0,150.0,6060.0,5880.0,5610.0,5470.0,2070.0000000000005
19.0,3400.0,3390.0,3150.0,2820.0000000000005,160.0,6070.0,5760.0,5580.0,5300.0,3390.0
20.0,3550.0,3520.0000000000005,3390.0,3310.0,1230.0,6110.0,5780.0,5280.0,4780.0,3390.0
21.0,3580.0000000000005,3520.0000000000005,3430.0000000000005,3220.0000000000005,3180.0,10180.000000000002,6120.0,5960.0,5910.0,5090.000000000001
22.0,3460.0,3380.0000000000005,3230.0000000000005,1280.0,160.0,6120.0,5910.0,5580.0,5510.0,160.0
23.0,3600.0,3440.0,3430.0000000000005,3240.0,3190.0,6110.0,6100.0,5880.0,5400.0,3600.0
24.0,3560.0,3390.0,3230.0000000000005,3030.0,160.0,6920.0,6760.000000000001,6080.0,5850.0,160.0
25.0,3380.0000000000005,3330.0000000000005,2830.0,2820.0000000000005,160.0,10410.0,10180.000000000002,5990.000000000001,5910.0,5540.000000000001
26.0,3600.0,3580.0000000000005,3200.0,3160.0,2820.0000000000005,10210.0,6120.0,5910.0,5900.0,5540.000000000001
27.0,3640.0,3380.0000000000005,3240.0,3030.0,160.0,10370.0,6080.0,5500.0,5460.0,2060.0
28.0,3600.0,3410.0,3360.0,3200.0,160.0,10280.000000000002,6100.0,6080.0,3410.0,2820.0000000000005
29.0,3520.0000000000005,3370.0000000000005,3250.0,3240.0,1400.0,6750.0,6300.0,5720.0,5710.0,4820.0
30.0,3580.0000000000005,3570.0000000000005,3450.0,3400.0,3000.0,10310.0,6070.0,6020.0,5450.0,3550.0
31.0,3530.0000000000005,3500.0,3410.0,3380.0000000000005,1220.0,10130.000000000002,6260.0,5940.000000000001,5540.000000000001,0.0
32.0,3570.0000000000005,3530.0000000000005,3400.0,3340.0,2800.0,10330.000000000002,6290.000000000001,5660.0,3570.0000000000005,2110.0
33.0,3540.0,3400.0,3370.0000000000005,3360.0,3210.0,6280.0,5940.000000000001,5660.0,5270.0,3760.0
34.0,3410.0,3380.0000000000005,3270.0000000000005,1440.0,150.0,10380.000000000002,10280.000000000002,6070.0,5890.000000000001,5650.0
35.0,3640.0,3550.0,3540.0,3290.0,150.0,5880.0,5580.0,5470.0,5280.0,3550.0
36.0,3630.0000000000005,3610.0,3580.0000000000005,3400.0,3210.0,10360.0,6280.0,5610.0,5300.0,3610.0
37.0,3610.0,3550.0,3410.0,3210.0,3010.0,5850.0,5670.0,5660.0,2100.0,0.0
38.0,3550.0,3180.0,3170.0000000000005,1320.0,1250.0,5990.000000000001,5900.0,5690.000000000001,5670.0,5570.0
39.0,3580.0000000000005,3570.0000000000005,3520.0000000000005,3370.0000000000005,1790.0000000000002,10220.0,5880.0,5850.0,5620.0,3580.0000000000005
40.0,3570.0000000000005,3520.0000000000005,3370.0000000000005,3360.0,3180.0,10390.0,6070.0,5670.0,5650.0,0.0
41.0,3630.0000000000005,3610.0,3570.0000000000005,3420.0000000000005,3160.0,6080.0,5950.0,5670.0,5500.0,1320.0
42.0,3610.0,3580.0000000000005,3560.0,3520.0000000000005,3370.0000000000005,6090.000000000001,5870.0,4180.0,3580.0000000000005,1320.0
43.0,3580.0000000000005,3530.0000000000005,3510.0,3440.0,3330.0000000000005,6100.0,6070.0,5670.0,5500.0,3580.0000000000005
44.0,3580.0000000000005,3540.0,3510.0,3370.0000000000005,3350.0,10430.000000000002,6080.0,5890.000000000001,5680.0,3540.0
45.0,3730.0000000000005,3600.0,3580.0000000000005,3540.0,3470.0000000000005,6110.0,5720.0,5650.0,5550.0,2130.0
46.0,3590.0,3540.0,3510.0,3420.0000000000005,1280.0,5690.000000000001,5660.0,5620.0,3590.0,0.0
47.0,3580.0000000000005,3500.0,3370.0000000000005,3340.0,1320.0,10390.0,6070.0,5890.000000000001,5690.000000000001,5640.000000000001
48.0,3790.0,3570.0000000000005,3420.0000000000005,3410.0,3220.0000000000005,10360.0,5990.000000000001,5870.0,5690.000000000001,5660.0
49.0,3590.0,3580.0000000000005,3380.0000000000005,3220.0000000000005,3150.0,6090.000000000001,5870.0,3380.0000000000005,1320.0,0.0
50.0,3620.0000000000005,3610.0,3590.0,3570.0000000000005,3550.0,10450.0,6000.0,5280.0,3170.0000000000005,2110.0
51.0,3630.0000000000005,3580.0000000000005,3500.0,3340.0,1300.0,10390.0,6070.0,3580.0000000000005,2140.0,2130.0
52.0,3590.0,3570.0000000000005,3420.0000000000005,3410.0,3320.0000000000005,5790.000000000001,5480.0,3590.0,3570.0000000000005,0.0
53.0,3540.0,3420.0000000000005,3370.0000000000005,3210.0,3190.0,9850.0,5880.0,5480.0,5390.000000000001,3190.0
54.0,3530.0000000000005,3520.0000000000005,3410.0,3390.0,1260.0000000000002,10720.0,6080.0,5860.0,5690.000000000001,5670.0
55.0,3590.0,3580.0000000000005,3530.0000000000005,3500.0,3350.0,10020.0,6950.0,5750.0,5690.000000000001,3580.0000000000005
56.0,3610.0,3550.0,3510.0,3410.0,3190.0,5880.0,5740.000000000001,4210.0,3550.0,3190.0
57.0,3780.0000000000005,3770.0000000000005,3560.0,3440.0,3210.0,6070.0,6030.0,5760.0,3780.0000000000005,0.0
58.0,3630.0000000000005,3580.0000000000005,3510.0,3420.0000000000005,3210.0,10580.000000000002,10360.0,5430.0,3580.0000000000005,2120.0000000000005
59.0,3550.0,3380.0000000000005,1810.0000000000002,1260.0000000000002,1220.0,6080.0,6060.0,5870.0,5690.000000000001,2790.0
60.0,3740.0,3550.0,3340.0,3180.0,3170.0000000000005,10420.0,10380.000000000002,6080.0,6060.0,5670.0
61.0,3580.0000000000005,3550.0,3500.0,3410.0,3380.0000000000005,5870.0,5690.000000000001,2110.0,2080.0,1320.0
62.0,3620.0000000000005,3530.0000000000005,3380.0000000000005,3350.0,1800.0,10350.0,10220.0,6040.000000000001,5610.0,3800.0
63.0,3670.0000000000005,3550.0,3360.0,1260.0000000000002,1210.0000000000002,5680.0,5670.0,5520.0,5450.0,4400.0
64.0,3590.0,3580.0000000000005,3400.0,3390.0,3360.0,5700.0,3770.0000000000005,3590.0,3580.0000000000005,2110.0
65.0,3590.0,3580.0000000000005,3540.0,3390.0,3190.0,5980.0,5730.0,5630.0,5080.0,3590.0
66.0,3580.0000000000005,3550.0,3540.0,3320.0000000000005,3220.0000000000005,10230.000000000002,5880.0,3550.0,3540.0,2100.0
67.0,5460.0,3610.0,3580.0000000000005,1310.0000000000002,1280.0,10290.0,6080.0,5950.0,5880.0,5350.0
68.0,3620.0000000000005,3420.0000000000005,3390.0,1970.0000000000002,1810.0000000000002,10040.0,5870.0,5600.0,4810.0,3770.0000000000005
69.0,3640.0,3440.0,3340.0,3210.0,1790.0000000000002,5780.0,5700.0,5530.0,5490.000000000001,2820.0000000000005
70.0,3600.0,3590.0,3530.0000000000005,3520.0000000000005,3500.0,10600.0,5800.0,5680.0,5440.000000000001,3600.0
71.0,3670.0000000000005,3580.0000000000005,3550.0,3380.0000000000005,3010.0,6060.0,5870.0,5680.0,3550.0,2100.0
72.0,3730.0000000000005,3590.0,3580.0000000000005,3430.0000000000005,3280.0000000000005,10550.0,5700.0,3590.0,2800.0,2780.0
73.0,3610.0,3580.0000000000005,3520.0000000000005,3470.0000000000005,1640.0000000000002,5990.000000000001,5880.0,5870.0,5540.000000000001,0.0
74.0,3580.0000000000005,3490.0,3450.0,3430.0000000000005,1800.0,10470.0,5930.0,5870.0,3450.0,2590.0
75.0,3620.0000000000005,3610.0,3560.0,3530.0000000000005,3420.0000000000005,5930.0,5380.0,5280.0,3560.0,2990.0
76.0,3560.0,3550.0,3460.0,3380.0000000000005,3350.0,6080.0,5880.0,5790.000000000001,3800.0,3550.0
77.0,3580.0000000000005,3550.0,3380.0000000000005,2980.0,1680.0,10680.000000000002,10360.0,5860.0,5710.0,5670.0
78.0,3620.0000000000005,3580.0000000000005,3550.0,3220.0000000000005,3190.0,5870.0,5720.0,5690.000000000001,5670.0,3620.0000000000005
79.0,3570.0000000000005,3560.0,3480.0000000000005,3470.0000000000005,3400.0,5900.0,5860.0,5850.0,5740.000000000001,5590.000000000001
80.0,3570.0000000000005,3500.0,3390.0,3380.0000000000005,1500.0,6120.0,5700.0,5690.000000000001,5490.000000000001,2990.0
81.0,3620.0000000000005,3590.0,3580.0000000000005,3500.0,1680.0,5910.0,5900.0,5820.0,5680.0,5490.000000000001
82.0,3640.0,3400.0,3390.0,1830.0,1790.0000000000002,5890.000000000001,5880.0,5870.0,5860.0,5710.0
83.0,3580.0000000000005,3550.0,3480.0000000000005,3440.0,1790.0000000000002,10420.0,5690.000000000001,5670.0,5660.0,5500.0
84.0,3760.0,3590.0,3560.0,3550.0,3370.0000000000005,10760.0,10590.0,10500.0,5990.000000000001,5520.0
85.0,3520.0000000000005,3470.0000000000005,3430.0000000000005,3210.0,3160.0,10690.0,10510.0,5700.0,5690.000000000001,0.0
86.0,3580.0000000000005,3530.0000000000005,3400.0,3390.0,1240.0,10390.0,5870.0,5490.000000000001,3400.0,0.0
87.0,3560.0,3550.0,3430.0000000000005,3220.0000000000005,3180.0,6090.000000000001,6050.0,5870.0,5700.0,5310.0
88.0,3570.0000000000005,3470.0000000000005,3370.0000000000005,3360.0,3350.0,6070.0,5920.0,5700.0,5680.0,5670.0
89.0,3580.0000000000005,3510.0,3420.0000000000005,3370.0000000000005,3010.0,10620.0,5690.000000000001,5670.0,3580.0000000000005,1320.0
90.0,3780.0000000000005,3580.0000000000005,3500.0,3430.0000000000005,3410.0,10630.000000000002,10420.0,6070.0,4560.0,3800.0
91.0,3600.0,3510.0,3470.0000000000005,3380.0000000000005,3370.0000000000005,6090.000000000001,5960.0,5820.0,2120.0000000000005,0.0
92.0,3730.0000000000005,3590.0,3560.0,3550.0,3420.0000000000005,10530.000000000002,5770.0,5680.0,5480.0,0.0
93.0,3620.0000000000005,3580.0000000000005,3510.0,3180.0,1260.0000000000002,10350.0,10290.0,6080.0,5360.0,3600.0
94.0,3580.0000000000005,3570.0000000000005,3540.0,3520.0000000000005,3420.0000000000005,10820.0,5890.000000000001,5880.0,5740.000000000001,5690.000000000001
95.0,3540.0,3530.0000000000005,3330.0000000000005,1790.0000000000002,1260.0000000000002,6020.0,5930.0,5480.0,3540.0,3010.0
96.0,3600.0,3540.0,3520.0000000000005,3410.0,3360.0,6030.0,5900.0,5700.0,5670.0,3600.0
97.0,3620.0000000000005,3580.0000000000005,3560.0,3400.0,3380.0000000000005,5290.000000000001,3580.0000000000005,3570.0000000000005,3560.0,160.0
98.0,3580.0000000000005,3560.0,3530.0000000000005,3470.0000000000005,3400.0,10200.0,6110.0,5960.0,5680.0,5490.000000000001
99.0,3650.0,3560.0,3320.0000000000005,1820.0,1810.0000000000002,5880.0,5860.0,5690.000000000001,5680.0,2790.0
100.0,3590.0,3550.0,3490.0,3450.0,1800.0,10460.0,5890.000000000001,5780.0,5680.0,3590.0
101.0,5750.0,3600.0,3570.0000000000005,3500.0,3390.0,6080.0,5700.0,5480.0,3600.0,3390.0
102.0,3570.0000000000005,3520.0000000000005,3430.0000000000005,1840.0000000000002,1800.0,10580.000000000002,6200.0,6090.000000000001,5870.0,5820.0
103.0,3570.0000000000005,3490.0,3420.0000000000005,3380.0000000000005,1810.0000000000002,10650.0,5870.0,5750.0,5670.0,5490.000000000001
104.0,3620.0000000000005,3560.0,3540.0,3420.0000000000005,3350.0,10460.0,6890.000000000001,5670.0,5320.0,2120.0000000000005
105.0,3680.0000000000005,3560.0,3550.0,1280.0,1270.0,6110.0,5760.0,5690.000000000001,5480.0,5360.0
