Observation,max_freq_1_x,max_freq_2_x,max_freq_3_x,max_freq_4_x,max_freq_5_x,max_freq_1_y,max_freq_2_y,max_freq_3_y,max_freq_4_y,max_freq_5_y
1.0,3930.0000000000005,3770.0000000000005,3750.0,3540.0,3530.0000000000005,10240.0,10230.000000000002,5870.0,5260.0,4840.000000000001
2.0,4140.000000000001,3950.0,3700.0,3560.0,3510.0,10100.0,5600.0,5590.000000000001,4410.0,2120.0000000000005
3.0,3820.0000000000005,3650.0,3530.0000000000005,3510.0,3500.0,10380.000000000002,10370.0,10090.0,10080.000000000002,2170.0000000000005
4.0,3950.0,3760.0,3560.0,3550.0,3510.0,10340.0,10330.000000000002,10190.0,5520.0,3950.0
5.0,3970.0000000000005,3960.0,3770.0000000000005,3560.0,3550.0,10570.0,10560.0,5710.0,5490.000000000001,3550.0
6.0,3960.0,3950.0,3940.0000000000005,3780.0000000000005,3560.0,5720.0,5570.0,5440.000000000001,4600.0,4000.0
7.0,4190.000000000001,4180.0,3960.0,3830.0000000000005,3760.0,5540.000000000001,5530.0,5300.0,5290.000000000001,4180.0
8.0,4160.0,4150.0,3790.0,3550.0,3510.0,10570.0,10560.0,5260.0,5080.0,3070.0000000000005
9.0,4010.0,4000.0,3990.0000000000005,3920.0000000000005,3780.0000000000005,5740.000000000001,5530.0,5520.0,5260.0,5250.0
10.0,3890.0000000000005,3840.0000000000005,3800.0,3520.0000000000005,3510.0,8450.0,8440.0,5730.0,5290.000000000001,3100.0
11.0,4180.0,3960.0,3950.0,3940.0000000000005,3930.0000000000005,5970.0,5730.0,5720.0,5680.0,5500.0
12.0,4190.000000000001,4180.0,4160.0,4150.0,3950.0,5710.0,5280.0,4190.000000000001,4180.0,4170.0
13.0,3990.0000000000005,3950.0,3940.0000000000005,3930.0000000000005,3780.0000000000005,5740.000000000001,5720.0,5710.0,5560.0,3930.0000000000005
14.0,4190.000000000001,4180.0,3810.0,3780.0000000000005,3730.0000000000005,5790.000000000001,5340.000000000001,5330.0,5320.0,4190.000000000001
15.0,4210.0,4200.0,4190.000000000001,3920.0000000000005,3730.0000000000005,5560.0,5480.0,5060.0,4200.0,2930.0
16.0,3960.0,3950.0,3940.0000000000005,3780.0000000000005,3520.0000000000005,9440.0,5530.0,4620.0,3960.0,3950.0
17.0,4190.000000000001,4010.0,4000.0,3790.0,3750.0,5750.0,5560.0,5530.0,5500.0,4190.000000000001
18.0,4390.000000000001,4200.0,4190.000000000001,4170.0,3790.0,10310.0,5710.0,5500.0,4190.000000000001,4170.0
19.0,3910.0,3900.0,3790.0,3780.0000000000005,3560.0,8640.0,5760.0,5320.0,5150.0,3970.0000000000005
20.0,4010.0,3970.0000000000005,3960.0,3930.0000000000005,3840.0000000000005,5750.0,5640.000000000001,5570.0,5560.0,2910.0
21.0,4030.0000000000005,3960.0,3790.0,3760.0,3710.0,10370.0,5840.000000000001,5530.0,5520.0,2210.0
22.0,3930.0000000000005,3920.0000000000005,3850.0,3740.0,3710.0,5340.000000000001,5310.0,5300.0,4640.000000000001,4630.0
23.0,4200.0,4190.000000000001,3980.0000000000005,3570.0000000000005,3550.0,10210.0,10190.0,10180.000000000002,10160.0,10150.0
24.0,3780.0000000000005,3760.0,3700.0,3560.0,3550.0,10350.0,10340.0,10070.0,8900.0,3550.0
25.0,3950.0,3800.0,3790.0,3580.0000000000005,3520.0000000000005,10180.000000000002,9940.0,5520.0,5510.0,3520.0000000000005
26.0,3680.0000000000005,3600.0,3580.0000000000005,3570.0000000000005,3480.0000000000005,10180.000000000002,10170.0,9940.0,9930.000000000002,9920.0
